frame_left,frame_right,frame_top,frame_bottom,xL,yL,xR,yR,xT,yT,xB,yB,id,confidence
1,1,1,1,383.000,69.000,403.000,70.000,383.000,69.000,403.000,70.000,1006,0.877542
1,1,1,1,325.000,134.000,339.000,137.000,325.000,134.000,339.000,137.000,1007,0.877034
1,1,1,1,363.000,14.000,382.000,11.000,363.000,14.000,382.000,11.000,1008,0.875779
1,1,1,1,331.000,146.000,345.000,156.000,331.000,146.000,345.000,156.000,1009,0.875250
1,1,1,1,335.000,26.000,351.000,19.000,335.000,26.000,351.000,19.000,1010,0.875205
1,1,1,1,373.000,136.000,391.000,147.000,373.000,136.000,391.000,147.000,1011,0.874234
1,1,1,1,373.000,80.000,392.000,83.000,373.000,80.000,392.000,83.000,1012,0.872053
1,1,1,1,330.000,156.000,345.000,165.000,330.000,156.000,345.000,165.000,1013,0.870156
1,1,1,1,345.000,171.000,360.000,180.000,345.000,171.000,360.000,180.000,1014,0.870110
1,1,1,1,324.000,155.000,335.000,165.000,324.000,155.000,335.000,165.000,1015,0.864699
1,1,1,1,329.000,142.000,339.000,147.000,329.000,142.000,339.000,147.000,1016,0.860965
1,1,1,1,254.000,316.000,256.000,329.000,254.000,316.000,256.000,329.000,1017,0.847841
1,1,1,1,388.000,132.000,406.000,145.000,388.000,132.000,406.000,145.000,1018,0.847713
1,1,1,1,238.000,358.000,240.000,367.000,238.000,358.000,240.000,367.000,1019,0.847271
1,1,1,1,410.000,55.000,432.000,58.000,410.000,55.000,432.000,58.000,1020,0.847271
1,1,1,1,367.000,24.000,383.000,20.000,367.000,24.000,383.000,20.000,1021,0.846413
1,1,1,1,330.000,20.000,342.000,15.000,330.000,20.000,342.000,15.000,1022,0.845285
1,1,1,1,190.000,352.000,191.000,358.000,190.000,352.000,191.000,358.000,1023,0.840898
1,1,1,1,256.000,320.000,257.000,335.000,256.000,320.000,257.000,335.000,1024,0.840559
1,1,1,1,256.000,292.000,261.000,305.000,256.000,292.000,261.000,305.000,1025,0.838904
1,1,1,1,370.000,92.000,388.000,98.000,370.000,92.000,388.000,98.000,1026,0.838498
1,1,1,1,371.000,106.000,389.000,115.000,371.000,106.000,389.000,115.000,1027,0.838420
1,1,1,1,368.000,172.000,383.000,184.000,368.000,172.000,383.000,184.000,1028,0.836593
1,1,1,1,335.000,50.000,351.000,46.000,335.000,50.000,351.000,46.000,1029,0.836529
1,1,1,1,191.000,360.000,191.000,368.000,191.000,360.000,191.000,368.000,1030,0.835662
1,1,1,1,254.000,308.000,255.000,320.000,254.000,308.000,255.000,320.000,1031,0.835435
1,1,1,1,115.000,92.000,121.000,88.000,115.000,92.000,121.000,88.000,1032,0.834643
1,1,1,1,400.000,132.000,420.000,141.000,400.000,132.000,420.000,141.000,1033,0.832807
1,1,1,1,201.000,354.000,201.000,360.000,201.000,354.000,201.000,360.000,1034,0.832377
1,1,1,1,273.000,37.000,285.000,33.000,273.000,37.000,285.000,33.000,1035,0.829902
1,1,1,1,118.000,111.000,122.000,106.000,118.000,111.000,122.000,106.000,1036,0.828884
1,1,1,1,376.000,106.000,393.000,114.000,376.000,106.000,393.000,114.000,1037,0.827571
1,1,1,1,18.000,97.000,30.000,86.000,18.000,97.000,30.000,86.000,1038,0.824508
1,1,1,1,268.000,9.000,277.000,4.000,268.000,9.000,277.000,4.000,1039,0.823459
1,1,1,1,400.000,142.000,420.000,153.000,400.000,142.000,420.000,153.000,1040,0.823455
1,1,1,1,383.000,26.000,407.000,24.000,383.000,26.000,407.000,24.000,1041,0.822102
1,1,1,1,87.000,112.000,95.000,104.000,87.000,112.000,95.000,104.000,1042,0.821186
1,1,1,1,274.000,16.000,288.000,12.000,274.000,16.000,288.000,12.000,1043,0.821146
1,1,1,1,371.000,115.000,390.000,120.000,371.000,115.000,390.000,120.000,1044,0.818730
1,1,1,1,244.000,344.000,242.000,354.000,244.000,344.000,242.000,354.000,1045,0.818157
1,1,1,1,126.000,91.000,130.000,84.000,126.000,91.000,130.000,84.000,1046,0.817530
1,1,1,1,282.000,37.000,293.000,32.000,282.000,37.000,293.000,32.000,1047,0.816116
1,1,1,1,50.000,35.000,63.000,25.000,50.000,35.000,63.000,25.000,1048,0.813831
1,1,1,1,290.000,84.000,302.000,82.000,290.000,84.000,302.000,82.000,1049,0.812130
1,1,1,1,432.000,312.000,447.000,342.000,432.000,312.000,447.000,342.000,1050,0.811275
1,1,1,1,328.000,197.000,340.000,208.000,328.000,197.000,340.000,208.000,1051,0.807742
1,1,1,1,294.000,43.000,307.000,39.000,294.000,43.000,307.000,39.000,1052,0.801096
1,1,1,1,392.000,148.000,411.000,162.000,392.000,148.000,411.000,162.000,1053,0.800220
1,1,1,1,297.000,69.000,308.000,66.000,297.000,69.000,308.000,66.000,1054,0.799492
1,1,1,1,359.000,253.000,369.000,271.000,359.000,253.000,369.000,271.000,1055,0.798998
1,1,1,1,294.000,73.000,303.000,74.000,294.000,73.000,303.000,74.000,1056,0.798791
1,1,1,1,387.000,13.000,409.000,12.000,387.000,13.000,409.000,12.000,1057,0.797144
1,1,1,1,299.000,81.000,309.000,81.000,299.000,81.000,309.000,81.000,1058,0.791536
1,1,1,1,287.000,84.000,295.000,85.000,287.000,84.000,295.000,85.000,1059,0.786442
2,2,2,2,362.000,187.000,376.000,199.000,362.000,187.000,376.000,199.000,2000,0.895120
2,2,2,2,358.000,148.000,375.000,161.000,358.000,148.000,375.000,161.000,2001,0.889759
2,2,2,2,370.000,84.000,388.000,87.000,370.000,84.000,388.000,87.000,2002,0.889734
2,2,2,2,383.000,69.000,401.000,70.000,383.000,69.000,401.000,70.000,2003,0.888891
2,2,2,2,363.000,201.000,376.000,210.000,363.000,201.000,376.000,210.000,2004,0.886977
2,2,2,2,376.000,68.000,396.000,69.000,376.000,68.000,396.000,69.000,2005,0.886959
2,2,2,2,369.000,66.000,387.000,67.000,369.000,66.000,387.000,67.000,2006,0.885370
2,2,2,2,363.000,139.000,383.000,149.000,363.000,139.000,383.000,149.000,2007,0.882010
2,2,2,2,332.000,142.000,347.000,150.000,332.000,142.000,347.000,150.000,2008,0.879821
2,2,2,2,331.000,146.000,345.000,156.000,331.000,146.000,345.000,156.000,2009,0.879512
2,2,2,2,373.000,136.000,391.000,147.000,373.000,136.000,391.000,147.000,2010,0.877917
2,2,2,2,363.000,14.000,382.000,11.000,363.000,14.000,382.000,11.000,2011,0.875508
2,2,2,2,357.000,141.000,375.000,152.000,357.000,141.000,375.000,152.000,2012,0.875471
2,2,2,2,330.000,156.000,345.000,165.000,330.000,156.000,345.000,165.000,2013,0.874779
2,2,2,2,373.000,80.000,392.000,83.000,373.000,80.000,392.000,83.000,2014,0.873626
2,2,2,2,360.000,161.000,375.000,168.000,360.000,161.000,375.000,168.000,2015,0.873320
2,2,2,2,319.000,145.000,334.000,154.000,319.000,145.000,334.000,154.000,2016,0.868249
2,2,2,2,319.000,139.000,334.000,147.000,319.000,139.000,334.000,147.000,2017,0.868006
2,2,2,2,342.000,169.000,360.000,180.000,342.000,169.000,360.000,180.000,2018,0.867833
2,2,2,2,594.000,201.000,602.000,211.000,594.000,201.000,602.000,211.000,2019,0.861189
2,2,2,2,585.000,200.000,591.000,211.000,585.000,200.000,591.000,211.000,2020,0.851533
2,2,2,2,328.000,160.000,344.000,168.000,328.000,160.000,344.000,168.000,2021,0.844943
2,2,2,2,370.000,92.000,388.000,98.000,370.000,92.000,388.000,98.000,2022,0.843609
2,2,2,2,371.000,106.000,389.000,116.000,371.000,106.000,389.000,116.000,2023,0.840526
2,2,2,2,410.000,55.000,432.000,58.000,410.000,55.000,432.000,58.000,2024,0.840044
2,2,2,2,119.000,85.000,121.000,88.000,119.000,85.000,121.000,88.000,2025,0.837925
2,2,2,2,406.000,59.000,424.000,61.000,406.000,59.000,424.000,61.000,2026,0.836435
2,2,2,2,400.000,132.000,420.000,142.000,400.000,132.000,420.000,142.000,2027,0.832625
2,2,2,2,423.000,49.000,444.000,52.000,423.000,49.000,444.000,52.000,2028,0.830631
2,2,2,2,417.000,44.000,438.000,46.000,417.000,44.000,438.000,46.000,2029,0.824089
2,2,2,2,105.000,100.000,105.000,101.000,105.000,100.000,105.000,101.000,2030,0.823892
2,2,2,2,274.000,16.000,288.000,12.000,274.000,16.000,288.000,12.000,2031,0.822552
2,2,2,2,371.000,115.000,390.000,120.000,371.000,115.000,390.000,120.000,2032,0.821517
2,2,2,2,400.000,142.000,420.000,152.000,400.000,142.000,420.000,152.000,2033,0.821495
2,2,2,2,376.000,106.000,392.000,112.000,376.000,106.000,392.000,112.000,2034,0.821298
2,2,2,2,416.000,60.000,434.000,64.000,416.000,60.000,434.000,64.000,2035,0.819780
2,2,2,2,125.000,86.000,130.000,84.000,125.000,86.000,130.000,84.000,2036,0.819103
2,2,2,2,383.000,26.000,407.000,24.000,383.000,26.000,407.000,24.000,2037,0.817497
2,2,2,2,362.000,99.000,379.000,108.000,362.000,99.000,379.000,108.000,2038,0.816141
2,2,2,2,398.000,35.000,418.000,32.000,398.000,35.000,418.000,32.000,2039,0.813406
2,2,2,2,433.000,22.000,456.000,25.000,433.000,22.000,456.000,25.000,2040,0.808725
2,2,2,2,400.000,29.000,420.000,26.000,400.000,29.000,420.000,26.000,2041,0.805928
2,2,2,2,294.000,43.000,307.000,39.000,294.000,43.000,307.000,39.000,2042,0.804919
2,2,2,2,144.000,84.000,147.000,84.000,144.000,84.000,147.000,84.000,2043,0.803547
2,2,2,2,363.000,92.000,379.000,101.000,363.000,92.000,379.000,101.000,2044,0.802324
2,2,2,2,328.000,197.000,340.000,208.000,328.000,197.000,340.000,208.000,2045,0.799798
2,2,2,2,302.000,33.000,319.000,30.000,302.000,33.000,319.000,30.000,2046,0.799791
2,2,2,2,433.000,29.000,453.000,31.000,433.000,29.000,453.000,31.000,2047,0.798323
2,2,2,2,433.000,58.000,455.000,59.000,433.000,58.000,455.000,59.000,2048,0.798155
2,2,2,2,135.000,80.000,140.000,79.000,135.000,80.000,140.000,79.000,2049,0.798025
2,2,2,2,143.000,77.000,146.000,78.000,143.000,77.000,146.000,78.000,2050,0.794227
2,2,2,2,275.000,60.000,288.000,60.000,275.000,60.000,288.000,60.000,2051,0.790827
2,2,2,2,311.000,26.000,326.000,26.000,311.000,26.000,326.000,26.000,2052,0.790023
2,2,2,2,387.000,19.000,405.000,16.000,387.000,19.000,405.000,16.000,2053,0.789789
2,2,2,2,319.000,90.000,336.000,97.000,319.000,90.000,336.000,97.000,2054,0.787071
2,2,2,2,141.000,90.000,146.000,90.000,141.000,90.000,146.000,90.000,2055,0.785111
2,2,2,2,591.000,82.000,609.000,90.000,591.000,82.000,609.000,90.000,2056,0.784339
2,2,2,2,156.000,81.000,159.000,80.000,156.000,81.000,159.000,80.000,2057,0.783832
2,2,2,2,152.000,101.000,156.000,101.000,152.000,101.000,156.000,101.000,2058,0.780771
2,2,2,2,147.000,90.000,152.000,90.000,147.000,90.000,152.000,90.000,2059,0.780262
3,3,3,3,358.000,184.000,375.000,198.000,358.000,184.000,375.000,198.000,3000,0.916823
3,3,3,3,362.000,140.000,379.000,151.000,362.000,140.000,379.000,151.000,3001,0.891513
3,3,3,3,359.000,141.000,375.000,152.000,359.000,141.000,375.000,152.000,3002,0.888546
3,3,3,3,359.000,148.000,375.000,160.000,359.000,148.000,375.000,160.000,3003,0.888489
3,3,3,3,360.000,157.000,375.000,168.000,360.000,157.000,375.000,168.000,3004,0.888162
3,3,3,3,370.000,84.000,388.000,87.000,370.000,84.000,388.000,87.000,3005,0.886875
3,3,3,3,325.000,134.000,339.000,137.000,325.000,134.000,339.000,137.000,3006,0.886839
3,3,3,3,376.000,68.000,396.000,69.000,376.000,68.000,396.000,69.000,3007,0.883545
